state	county	dem_percent_12	dem_percent_16
North Carolina	Dare	41.131635	36.830027
North Carolina	Edgecombe	67.885214	65.193281
North Carolina	Iredell	34.146533	29.956278
North Carolina	Jackson	48.470151	41.217336
North Carolina	Lincoln	29.976886	24.728281
North Carolina	Moore	35.559625	33.535283
North Carolina	Perquimans	41.476248	34.570662
North Carolina	Randolph	24.331714	20.432056
North Carolina	Rockingham	38.912423	33.653437
North Carolina	Rowan	36.349339	30.138731
North Carolina	Sampson	44.18889	40.678031
North Carolina	Stokes	27.836625	20.687361
North Carolina	Vance	63.887024	61.215398
North Carolina	Wake	54.943907	57.377223
North Carolina	Wilson	53.376461	51.561558
North Carolina	Yancey	42.122527	32.088353
North Dakota	Cavalier	39.536008	23.728814
North Dakota	Foster	36.08799	20.186155
North Dakota	Hettinger	22.98091	12.962963
North Dakota	LaMoure	33.72835	23.337982
North Dakota	McLean	33.81936	20.338664
North Dakota	Nelson	45.709178	31.217239
North Dakota	Pembina	38.494624	21.598478
North Dakota	Richland	42.007093	27.186512
Ohio	Athens	66.238512	55.598954
Ohio	Carroll	41.796109	24.124216
Ohio	Delaware	37.759844	39.352975
Ohio	Erie	55.305164	42.729789
Ohio	Greene	38.634567	35.35757
Ohio	Harrison	41.310741	23.845176
Ohio	Hocking	48.373664	29.404892
Ohio	Knox	36.881781	28.483285
Ohio	Licking	42.021133	33.078382
Ohio	Marion	45.715121	30.119292
Ohio	Ottawa	51.224617	37.289585
Ohio	Paulding	38.75986	23.134741
Ohio	Vinton	44.558259	24.554707
Ohio	Washington	39.496254	26.896783
Oklahoma	Alfalfa	15.458473	9.565988
Oklahoma	Carter	28.664876	21.592748
Oklahoma	Cherokee	42.947015	33.086719
Oklahoma	Cleveland	37.034946	35.476473
Oklahoma	Delaware	29.391987	21.067702
Oklahoma	Johnston	30.031696	19.561971
Oklahoma	Love	29.798271	19.398258
Oklahoma	Noble	24.681494	18.470685
Oklahoma	Pushmataha	25.254237	16.685255
Oklahoma	Rogers	24.925751	19.33826
Oklahoma	Stephens	23.381017	17.236372
Oregon	Benton	61.997232	59.879392
Oregon	Clackamas	50.436799	47.699251
Oregon	Columbia	50.278534	38.195958
Oregon	Curry	39.604384	34.097217
Oregon	Josephine	37.16139	30.190754
Oregon	Klamath	29.489912	23.63392
Oregon	Malheur	27.711933	21.523718
Oregon	Multnomah	75.368911	73.304636
Oregon	Union	32.916321	25.053979
Pennsylvania	Butler	31.919056	29.446488
Pennsylvania	Cameron	34.296542	24.290942
Pennsylvania	Fayette	45.296361	33.37735
Pennsylvania	Lawrence	44.863716	34.375383
Pennsylvania	Lebanon	35.171439	30.64597
Pennsylvania	Schuylkill	42.520831	26.674514
Pennsylvania	Tioga	31.504352	21.287858
Pennsylvania	Washington	42.580475	35.802859
Rhode Island	Newport	59.47227	55.673042
South Carolina	Anderson	31.026699	26.212989
South Carolina	Beaufort	40.721994	40.927614
South Carolina	Darlington	51.266998	46.801914
